iter	Passed	Remaining
898	11621	1305
899	11631	1292
900	11640	1279
901	11652	1266
902	11662	1252
903	11675	1239
904	11685	1226
905	11699	1213
906	11709	1200
907	11721	1187
908	11731	1174
909	11742	1161
910	11755	1148
911	11767	1135
912	11788	1123
913	11801	1110
914	11812	1097
915	11821	1084
916	11833	1071
917	11844	1058
918	11855	1044
919	11866	1031
920	11876	1018
921	11887	1005
922	11897	992
923	11910	979
924	11920	966
925	11931	953
926	11941	940
927	11951	927
928	11962	914
929	11973	901
930	11984	888
931	11993	875
932	12006	862
933	12017	849
934	12062	838
935	12096	827
936	12130	815
937	12147	802
938	12171	790
939	12185	777
940	12196	764
941	12207	751
942	12217	738
943	12228	725
944	12238	712
945	12249	699
946	12259	686
947	12271	673
948	12281	660
949	12293	647
950	12304	634
951	12315	620
952	12326	607
953	12336	594
954	12347	581
955	12357	568
956	12367	555
957	12379	542
958	12390	529
959	12401	516
960	12414	503
961	12424	490
962	12434	477
963	12446	464
964	12457	451
965	12466	438
966	12478	425
967	12489	412
968	12499	399
969	12510	386
970	12519	373
971	12530	360
972	12541	348
973	12552	335
974	12563	322
975	12574	309
976	12585	296
977	12596	283
978	12605	270
979	12615	257
980	12627	244
981	12643	231
982	12656	218
983	12666	205
984	12677	193
985	12688	180
986	12699	167
987	12709	154
988	12720	141
989	12729	128
990	12739	115
991	12751	102
992	12764	89
993	12775	77
994	12787	64
995	12799	51
996	12810	38
997	12820	25
998	12830	12
999	12843	0
